mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	tempo	qpm	tempo_visible	slur
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	43					
4	4	13	13	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	44					
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	45					
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	46					
4	4	15	15	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	47					
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	48					
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	2	1/2			1/2	1	49					
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	50					
5	5	17	17	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	51					
5	5	69/4	69/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	52					
5	5	35/2	35/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	53					
5	5	71/4	71/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	54					
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	55					
5	5	79/4	79/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	56					
5	5	16	16	2.0	0	0	Chord	4/4	1	2	1/2			1/2	1	57					
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	58					6
5	5	17	17	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	59					6
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	60					
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	61					
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	62					
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	63					
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	64					
6	6	20	20	0.0	0	0	Chord	4/4	1	1	0	appoggiatura		1/8	1	65					
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	66					
6	6	21	21	2.0	1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	67					
6	6	23	23	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16		1/16	1	68					
6	6	23	23	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	69					
6	6	47/2	47/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	70					
6	6	95/4	95/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	71					
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	72					
6	6	21	21	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	73					
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	74					
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	75					
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	76					
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	77					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	2	1/2			1/2	1	78					
7	7	24	24	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	79					
7	7	99/4	99/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	80					
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	81					
7	7	111/4	111/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	82					
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	83					
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	84					
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	85					
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	86					
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	87					
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	88					
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	89					
8	8	28	28	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	90					
8	8	115/4	115/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	91					
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	92					
8	8	127/4	127/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	93					
8	8	28	28	1.0	0	0	Chord	4/4	1	2	1/4			1/4	1	94					
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	95	ornamentTrill				7
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	96					7
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	97					7
8	8	30	30	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	98					7
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	99					7
8	8	31	31	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	100					7
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	101					
9	9	32	32	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	102					
9	9	131/4	131/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	103					
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	104					
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	105					
9	9	32	32	1.0	0	0	Chord	4/4	1	2	1/4			1/4	1	106					
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	107					8
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	108					8
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	109					8
9	9	34	34	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	110					8
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	111					8
9	9	35	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	112					8
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	113					
10	10	36	36	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	114					
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	115					
10	10	37	37	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	116					
10	10	149/4	149/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	117					
10	10	75/2	75/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	118					
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	119					
10	10	38	38	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	120					
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	121					
10	10	39	39	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	122					
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	123					
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	124					
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	125					
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	126					
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	127					
11	11	40	40	0.0	0	0	Chord	4/4	1	1	0	appoggiatura		1/8	1	128					
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	129					
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	130					
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	131					
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	132					
11	11	42	42	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	133					
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	134					
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	135					
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	136					
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	137					
12	12	45	45	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	138					
12	12	181/4	181/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	139					
12	12	91/2	91/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	140					
12	12	183/4	183/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	141					
12	12	46	46	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	142					
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	143					
12	12	47	47	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	144					
12	12	191/4	191/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	145					
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	146					
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	147					
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	148					
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	149					
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	150					9
13	13	49	49	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	151					
13	13	197/4	197/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	152					
13	13	99/2	99/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	153					
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	154					
13	13	50	50	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	155					
13	13	201/4	201/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	156					
13	13	101/2	101/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	157					
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	158					
13	13	51	51	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	159					
13	13	205/4	205/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	160					
13	13	103/2	103/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	161					
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	162					
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	163					
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	164					
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	165					
14	14	52	52	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	166					10
14	14	209/4	209/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	167					10
14	14	105/2	105/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	168					10
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	169					
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	170					
14	14	217/4	217/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	171					
14	14	109/2	109/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	172					
14	14	219/4	219/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	173					
14	14	55	55	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	174					
14	14	221/4	221/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	175					
14	14	111/2	111/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	176					
14	14	223/4	223/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	177					
14	14	53	53	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	178					
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	179					
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	180					
15	15	56	56	0.0	0	0	Chord	4/4	1	1	0	appoggiatura		1/8	1	181					
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	182					
15	15	57	57	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	183					
15	15	233/4	233/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	184					
15	15	117/2	117/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	185					
15	15	235/4	235/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	186					
15	15	59	59	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	187					
15	15	237/4	237/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	188					
15	15	119/2	119/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	189					
15	15	239/4	239/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	190					
15	15	56	56	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	191					
15	15	57	57	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	192					
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	193					
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	194					
15	15	56	56	1.0	0	0	Chord	4/4	2	2	1/4			1/4	1	195					
15	15	57	57	1.0	1/4	1/4	Chord	4/4	2	2	1/4			1/4	1	196					
16	16	60	60	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	197					
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	198					
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	199					11
16	16	62	62	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	200					
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	201					
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	202					
16	16	60	60	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	203					
16	16	61	61	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	204					
16	16	62	62	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	205					
16	16	63	63	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	206					
17	17	64	64	0.0	0	0	Chord	4/4	1	1	0	appoggiatura		1/8	1	207					
17	17	64	64	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	208					
17	17	65	65	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	209					
17	17	64	64	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	210					
17	17	65	65	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	211					
17	17	66	66	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12			1/8	2/3	212					
17	17	199/3	199/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12			1/8	2/3	213					
17	17	200/3	200/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12			1/8	2/3	214					
17	17	67	67	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12			1/8	2/3	215					
17	17	202/3	202/3	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12			1/8	2/3	216					
17	17	203/3	203/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12			1/8	2/3	217					
18	18	273/4	273/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	218					
18	18	137/2	137/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	219					
18	18	275/4	275/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	220					
18	18	69	69	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	221					
18	18	277/4	277/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	222					
18	18	139/2	139/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	223					
18	18	279/4	279/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	224					
18	18	70	70	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	225					
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	226					
18	18	71	71	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	227					
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	228					
18	18	68	68	4.0	0	0	Chord	4/4	2	1	1			1	1	229					
19	19	72	72	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	230					
19	19	291/4	291/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	231					
19	19	73	73	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	232					12
19	19	74	74	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	233					
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	234					
19	19	75	75	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	235					
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	236					
19	19	72	72	2.0	0	0	Chord	4/4	1	2	1/2			1/2	1	237					
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	2	1/2			1/2	1	238					
19	19	72	72	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	239					
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	240					
20	20	76	76	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	241					
20	20	305/4	305/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	242					
20	20	153/2	153/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	243					
20	20	307/4	307/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	244					
20	20	77	77	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	245					
20	20	309/4	309/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	246					
20	20	155/2	155/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	247					
20	20	311/4	311/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	248					
20	20	78	78	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	249					
20	20	79	79	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	250					
20	20	76	76	1.0	0	0	Chord	4/4	1	2	1/4			1/4	1	251					
20	20	77	77	1.0	1/4	1/4	Chord	4/4	1	2	1/4			1/4	1	252					
20	20	76	76	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	253					
20	20	77	77	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	254					
20	20	78	78	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	255					
20	20	79	79	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	256					
21	21	80	80	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	257	ornamentTrill				
21	21	323/4	323/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32			1/32	1	258					
21	21	647/8	647/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32			1/32	1	259					
21	21	81	81	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	260					
21	21	80	80	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	261					
21	21	163/2	163/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	262					
21	21	82	82	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	263					
21	21	165/2	165/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	264					
21	21	83	83	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	265					
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	266					
22	22	337/4	337/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	267					
22	22	169/2	169/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	268					
22	22	339/4	339/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	269					
22	22	85	85	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	270					
22	22	341/4	341/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	271					
22	22	171/2	171/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	272					
22	22	343/4	343/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	273					
22	22	86	86	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	274					
22	22	173/2	173/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	275					
22	22	87	87	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	276					
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	277					
22	22	84	84	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	278					
23	23	88	88	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	279					
23	23	355/4	355/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	280					
23	23	89	89	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	281					13
23	23	90	90	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	282					
23	23	181/2	181/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	283					
23	23	91	91	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	284					
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	285					
23	23	88	88	2.0	0	0	Chord	4/4	1	2	1/2			1/2	1	286					
23	23	90	90	2.0	1/2	1/2	Chord	4/4	1	2	1/2			1/2	1	287					
23	23	88	88	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	288					
23	23	90	90	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	289					
24	24	92	92	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	290					
24	24	369/4	369/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	291					
24	24	185/2	185/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	292					
24	24	371/4	371/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	293					
