mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	tempo_visible	slur
3	3	23/2	23/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	21						
3	3	47/4	47/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	22						
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2		r16	1/2	1	23						
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2		r16	1/2	1	24						
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	25						
4	4	13	13	0.75	1/4	1/4	Chord	4/4	1	1	3/16			1/8	3/2	26	ornamentTurn					
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	27						
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	28						
4	4	15	15	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	29	ornamentTurn					
4	4	63/4	63/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	30						
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2		r16	1/2	1	31						
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2		r16	1/2	1	32						
5	5	16	16	1.5	0	0	Chord	4/4	1	1	3/8			1/4	3/2	33	ornamentTrill					
5	5	35/2	35/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	34						
5	5	71/4	71/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	35						
5	5	18	18	1.5	1/2	1/2	Chord	4/4	1	1	3/8			1/4	3/2	36	ornamentTrill					
5	5	39/2	39/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	37						
5	5	79/4	79/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	38						
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2		r16	1/2	1	39						
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2		r16	1/2	1	40						
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	41						
6	6	21	21	0.75	1/4	1/4	Chord	4/4	1	1	3/16			1/8	3/2	42	ornamentTurn					
6	6	87/4	87/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	43						
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	44						
6	6	23	23	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	45	ornamentTurn					
6	6	95/4	95/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	46						
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2		r16	1/2	1	47						
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2		r16	1/2	1	48						
7	7	24	24	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	49						
7	7	97/4	97/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	50						
7	7	49/2	49/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	51						
7	7	99/4	99/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	52						
7	7	25	25	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	53						
7	7	101/4	101/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	54						
7	7	51/2	51/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	55						
7	7	103/4	103/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	56						
7	7	26	26	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	57						
7	7	105/4	105/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	58						
7	7	53/2	53/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	59						
7	7	107/4	107/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	60						
7	7	27	27	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	61						
7	7	109/4	109/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	62						
7	7	55/2	55/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	63						
7	7	111/4	111/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	64						
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	65						
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	66						
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	67						
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	68						
8	8	28	28	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	69						
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	70						
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	71						
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	72						
8	8	30	30	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	73						
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	74						
8	8	31	31	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	75						
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	76						
8	8	28	28	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	77						
8	8	113/4	113/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	78						
8	8	57/2	57/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	79						
8	8	115/4	115/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	80						
8	8	29	29	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	81						
8	8	117/4	117/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	82						
8	8	59/2	59/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	83						
8	8	119/4	119/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	84						
8	8	30	30	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	85						
8	8	121/4	121/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	86						
8	8	61/2	61/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	87						
8	8	123/4	123/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	88						
8	8	31	31	0.25	3/4	3/4	Chord	4/4	2	1	1/16			1/16	1	89						
8	8	125/4	125/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16			1/16	1	90						
8	8	63/2	63/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	91						
8	8	127/4	127/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	92						
9	9	32	32	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	93						
9	9	65/2	65/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	94						
9	9	131/4	131/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	95						
9	9	33	33	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	96						
9	9	67/2	67/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	97						
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	98						
9	9	34	34	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	99						
9	9	69/2	69/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	100						
9	9	139/4	139/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	101						
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	102						
9	9	71/2	71/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	103						
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	104						
9	9	32	32	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	105						
9	9	129/4	129/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	106						
9	9	65/2	65/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	107						
9	9	131/4	131/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	108						
9	9	33	33	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	109						
9	9	133/4	133/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	110						
9	9	67/2	67/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	111						
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	112						
9	9	34	34	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	113						
9	9	137/4	137/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	114						
9	9	69/2	69/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	115						
9	9	139/4	139/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	116						
9	9	35	35	0.25	3/4	3/4	Chord	4/4	2	1	1/16			1/16	1	117						
9	9	141/4	141/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16			1/16	1	118						
9	9	71/2	71/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	119						
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	120						
10	10	36	36	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	121						
10	10	73/2	73/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	122						
10	10	147/4	147/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	123						
10	10	37	37	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	124						
10	10	75/2	75/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	125						
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	126						
10	10	38	38	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	127						
10	10	153/4	153/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	128						
10	10	77/2	77/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	129						
10	10	155/4	155/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	130						
10	10	39	39	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	131						
10	10	157/4	157/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	132						
10	10	79/2	79/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	133						
10	10	159/4	159/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	134						
10	10	36	36	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	135						
10	10	145/4	145/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	136						
10	10	73/2	73/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	137						
10	10	147/4	147/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	138						
10	10	37	37	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	139						
10	10	149/4	149/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	140						
10	10	75/2	75/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	141						
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	142						
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	143						
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	144						
11	11	40	40	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	145						
11	11	161/4	161/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	146						
11	11	81/2	81/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	147						
11	11	163/4	163/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	148						
11	11	41	41	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	149						
11	11	165/4	165/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	150						
11	11	83/2	83/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	151						
11	11	167/4	167/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	152						
11	11	42	42	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	153						
11	11	169/4	169/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	154						
11	11	85/2	85/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	155						
11	11	171/4	171/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	156						
11	11	43	43	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	157						
11	11	173/4	173/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	158						
11	11	87/2	87/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	159						
11	11	175/4	175/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	160						
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	161						
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	162						
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	163						
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	164						
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	165						
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	166						
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	167						
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	168						
12	12	44	44	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	169						
12	12	177/4	177/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	170						
12	12	89/2	89/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	171						
12	12	179/4	179/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	172						
12	12	45	45	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	173						
12	12	181/4	181/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	174						
12	12	91/2	91/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	175						
12	12	183/4	183/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	176						
12	12	46	46	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	177						
12	12	185/4	185/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	178						
12	12	93/2	93/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	179						
12	12	187/4	187/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	180						
12	12	47	47	0.25	3/4	3/4	Chord	4/4	2	1	1/16			1/16	1	181						
12	12	189/4	189/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16			1/16	1	182						
12	12	95/2	95/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	183						
12	12	191/4	191/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	184						
13	13	48	48	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	185						
13	13	97/2	97/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	186						
13	13	195/4	195/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	187						
13	13	49	49	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	188						
13	13	99/2	99/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	189						
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	190						
13	13	50	50	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	191						
13	13	48	48	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	192						
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	193						
13	13	49	49	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	194						
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	195						
13	13	50	50	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	196						
14	14	52	52	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	197	ornamentTrill					
14	14	211/4	211/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32			1/32	1	198						
14	14	423/8	423/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32			1/32	1	199						
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	200						
14	14	109/2	109/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	201						
14	14	55	55	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	202						
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	203						
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2		r8	1/2	1	204						
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2		r8	1/2	1	205						
15	15	56	56	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	206	ornamentTrill					
15	15	227/4	227/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32			1/32	1	207						
15	15	455/8	455/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32			1/32	1	208						
15	15	57	57	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	209						
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	210						
15	15	59	59	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	211						
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	212						
15	15	56	56	2.0	0	0	Chord	4/4	2	1	1/2		r8	1/2	1	213						
15	15	58	58	2.0	1/2	1/2	Chord	4/4	2	1	1/2		r8	1/2	1	214						
16	16	60	60	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	215	ornamentTrill					
16	16	243/4	243/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32			1/32	1	216						
16	16	487/8	487/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32			1/32	1	217						
16	16	61	61	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	218						
16	16	245/4	245/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	219						
16	16	123/2	123/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	220						
16	16	247/4	247/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	221						
16	16	62	62	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4		1/4	1	222						
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	223	ornamentTrill					
16	16	60	60	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	224						
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	225						
16	16	61	61	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	226						
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	227						
16	16	62	62	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	228						
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	229						
16	16	63	63	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	230						
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	231						
17	17	64	64	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	232						
17	17	257/4	257/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	233						
17	17	129/2	129/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	234						
17	17	259/4	259/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	235						
17	17	65	65	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	236						
17	17	261/4	261/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	237						
17	17	131/2	131/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	238						
17	17	263/4	263/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	239						
17	17	66	66	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	240						
17	17	265/4	265/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	241						
17	17	133/2	133/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	242						
17	17	267/4	267/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	243						
17	17	67	67	0.25	3/4	3/4	Chord	4/4	2	1	1/16			1/16	1	244						
17	17	269/4	269/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16			1/16	1	245						
17	17	135/2	135/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	246						
17	17	271/4	271/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	247						
18	18	68	68	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	248	ornamentTrill					
18	18	275/4	275/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32			1/32	1	249						
18	18	551/8	551/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32			1/32	1	250						
18	18	69	69	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	251						
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	252						
18	18	71	71	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	253						
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	254						
18	18	68	68	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	255						
18	18	69	69	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	256						
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	257						
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	1	1/2		r8	1/2	1	258						
19	19	72	72	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	259	ornamentTrill					
19	19	291/4	291/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32			1/32	1	260						
19	19	583/8	583/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32			1/32	1	261						
19	19	73	73	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	262						
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	263						
19	19	75	75	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	264						
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	265						
19	19	72	72	2.0	0	0	Chord	4/4	2	1	1/2		r8	1/2	1	266						
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2		r8	1/2	1	267						
20	20	76	76	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	268						
20	20	305/4	305/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	269						
20	20	153/2	153/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	270						
20	20	307/4	307/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	271						
20	20	77	77	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	272						
20	20	309/4	309/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	273						
20	20	155/2	155/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	274						
20	20	311/4	311/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	275						
20	20	78	78	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	276						
20	20	79	79	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	277						
20	20	76	76	2.0	0	0	Chord	4/4	2	1	1/2		r8	1/2	1	278						
20	20	78	78	2.0	1/2	1/2	Chord	4/4	2	1	1/2		r8	1/2	1	279						
21	21	80	80	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	280						
21	21	321/4	321/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	281						
21	21	161/2	161/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	282						
21	21	323/4	323/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	283						
21	21	81	81	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	284						
21	21	82	82	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	285						
21	21	329/4	329/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	286						
21	21	165/2	165/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	287						
