mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	Trill:trill
10	10	14	14	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	74							
10	10	29/2	29/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	75							
11	11	15	15	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	76							
11	11	16	16	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	77							
11	11	15	15	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	78							
11	11	31/2	31/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	79							
11	11	16	16	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	80							
11	11	16	16	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	81							
12	12	33/2	33/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	82							
12	12	67/4	67/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	83							
12	12	17	17	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	84							
12	12	69/4	69/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	85							
12	12	35/2	35/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	86							
12	12	71/4	71/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	87							
12	12	33/2	33/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	88							
12	12	33/2	33/2	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	89							
13	13	18	18	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	90							
13	13	18	18	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	91							
13	13	37/2	37/2	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	92							
13	13	19	19	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	93							
14	14	39/2	39/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	94							
14	14	79/4	79/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	95							
14	14	20	20	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	96							
14	14	81/4	81/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	97							
14	14	41/2	41/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	98							
14	14	83/4	83/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	99							
14	14	39/2	39/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	100							
14	14	20	20	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	101							
14	14	41/2	41/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	102							
14	14	39/2	39/2	1.0	0	0	Chord	3/8	2	2	1/4		1/4	1	103							
15	15	21	21	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	104							
15	15	85/4	85/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	105							
15	15	43/2	43/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	106							
15	15	22	22	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	107							
15	15	21	21	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	108							
15	15	43/2	43/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	109							
15	15	22	22	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	110							
16	16	45/2	45/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	111	ornamentTrill						
16	16	23	23	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	112							
16	16	45/2	45/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	113							
16	16	23	23	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	114							
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	115							
17	17	24	24	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	116							
17	17	145/6	145/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	117							
17	17	73/3	73/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	118							
17	17	49/2	49/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	119							
17	17	74/3	74/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	120							
17	17	149/6	149/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	121							
17	17	25	25	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	122							
17	17	151/6	151/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	123							
17	17	76/3	76/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	124							
17	17	24	24	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	125							
18	18	51/2	51/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	126							
18	18	77/3	77/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	127							
18	18	155/6	155/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	128							
18	18	26	26	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	129							
18	18	157/6	157/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	130							
18	18	79/3	79/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	131							
18	18	53/2	53/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	132							
18	18	80/3	80/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	133							
18	18	161/6	161/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	134							
19	19	27	27	0.0	0	0	Spanner	3/8	1	1	0											0
19	19	27	27	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	135							0
19	19	27	27	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	136							
19	19	163/6	163/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	137							
19	19	82/3	82/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	138							
19	19	55/2	55/2	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	139							
19	19	83/3	83/3	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	140							
19	19	167/6	167/6	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	141							
19	19	28	28	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	142							
19	19	169/6	169/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	143							
19	19	85/3	85/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	144							
20	20	57/2	57/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	145							0
20	20	57/2	57/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	146							
20	20	86/3	86/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	147							
20	20	173/6	173/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	148							
20	20	29	29	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	149							
20	20	175/6	175/6	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	150							
20	20	88/3	88/3	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	151							
20	20	59/2	59/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	152							
20	20	89/3	89/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	153							
20	20	179/6	179/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	154							
21	21	30	30	0.0	0	0	Spanner	3/8	1	1	0											
21	21	30	30	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	155							
21	21	181/6	181/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	156							
21	21	91/3	91/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	157							
21	21	61/2	61/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	158							
21	21	92/3	92/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	159							
21	21	185/6	185/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	160							
21	21	31	31	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	161							
21	21	187/6	187/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	162							
21	21	94/3	94/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	163							
21	21	30	30	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	164							
22	22	63/2	63/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	165							
22	22	63/2	63/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	166							
22	22	95/3	95/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	167							
22	22	191/6	191/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	168							
22	22	32	32	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	169							
22	22	193/6	193/6	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	170							
22	22	97/3	97/3	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	171							
22	22	65/2	65/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	172							
22	22	98/3	98/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	173							
22	22	197/6	197/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	174							
23	23	33	33	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	175							
23	23	199/6	199/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	176							
23	23	100/3	100/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	177							
23	23	67/2	67/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	178							
23	23	101/3	101/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	179							
23	23	203/6	203/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	180							
23	23	34	34	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	181							
23	23	205/6	205/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	182							
23	23	103/3	103/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	183							
23	23	33	33	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	184							
24	24	69/2	69/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	185							
24	24	69/2	69/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	186							
24	24	104/3	104/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	187							
24	24	209/6	209/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	188							
24	24	35	35	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	189							
24	24	211/6	211/6	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	190							
24	24	106/3	106/3	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	191							
24	24	71/2	71/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	192							
24	24	107/3	107/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	193							
24	24	215/6	215/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	194							
25	25	36	36	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	195							
25	25	73/2	73/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	196							
25	25	37	37	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	197							
25	25	36	36	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	198							
25	25	217/6	217/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	199							
25	25	109/3	109/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	200							
25	25	73/2	73/2	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	201							
25	25	110/3	110/3	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	202							
25	25	221/6	221/6	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	203							
25	25	37	37	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	204							
25	25	223/6	223/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	205							
25	25	112/3	112/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	206							
26	26	75/2	75/2	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	207							
26	26	153/4	153/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	208							
26	26	77/2	77/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	209							
26	26	75/2	75/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	210							
26	26	113/3	113/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	211							
26	26	227/6	227/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	212							
26	26	38	38	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	213							
26	26	229/6	229/6	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	214							
26	26	115/3	115/3	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	215							
26	26	77/2	77/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	216							
26	26	116/3	116/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	217							
26	26	233/6	233/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	218							
27	27	39	39	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	219							
27	27	79/2	79/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	220							
27	27	40	40	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	221							
27	27	39	39	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	222							
27	27	235/6	235/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	223							
27	27	118/3	118/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	224							
27	27	79/2	79/2	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	225							
27	27	119/3	119/3	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	226							
27	27	239/6	239/6	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	227							
27	27	40	40	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	228							
27	27	241/6	241/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	229							
27	27	121/3	121/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	230							
28	28	81/2	81/2	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	231							
28	28	165/4	165/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	232							
28	28	83/2	83/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	233							
28	28	81/2	81/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	234							
28	28	122/3	122/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	235							
28	28	245/6	245/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	236							
28	28	41	41	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	237							
28	28	247/6	247/6	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	238							
28	28	124/3	124/3	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	239							
28	28	83/2	83/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	240							
28	28	125/3	125/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	241							
28	28	251/6	251/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	242							
29	29	42	42	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	243							
29	29	253/6	253/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	244							
29	29	127/3	127/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	245							
29	29	85/2	85/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	246							
29	29	128/3	128/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	247							
29	29	257/6	257/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	248							
29	29	43	43	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	249							
29	29	259/6	259/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	250							
29	29	130/3	130/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	251							
29	29	42	42	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	252							
29	29	85/2	85/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	253							
29	29	43	43	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	254							
30	30	87/2	87/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	255							
30	30	131/3	131/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	256							
30	30	263/6	263/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	257							
30	30	44	44	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	258							
30	30	265/6	265/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	259							
30	30	133/3	133/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	260							
30	30	89/2	89/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	261							
30	30	134/3	134/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	262							
30	30	269/6	269/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	263							
30	30	87/2	87/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	264							
30	30	44	44	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	265							
30	30	89/2	89/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	266							
31	31	45	45	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	267							
