mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur
23	5	203/3	203/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	196							
23	5	68	68	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	197							
23	5	205/3	205/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	198							
23	5	206/3	206/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	199							
23	5	66	66	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	200							
23	5	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	201							
23	5	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	202							
24	6	69	69	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	203							
24	6	208/3	208/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	204							
24	6	209/3	209/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	205							
24	6	70	70	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	206							
24	6	211/3	211/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	207							
24	6	212/3	212/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	208							
24	6	71	71	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	209							
24	6	214/3	214/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	210							
24	6	215/3	215/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	211							
24	6	69	69	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	212							
24	6	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	213							
25	7	72	72	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	214							
25	7	217/3	217/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	215							
25	7	218/3	218/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	216							
25	7	73	73	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	217							
25	7	220/3	220/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	218							
25	7	221/3	221/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	219							
25	7	74	74	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	220							
25	7	223/3	223/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	221							
25	7	224/3	224/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	222							
25	7	72	72	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	223							
25	7	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	224							
26	8	75	75	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	225							
26	8	226/3	226/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	226							
26	8	227/3	227/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	227							
26	8	76	76	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	228							
26	8	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	229							
26	8	76	76	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	230							
26	8	229/3	229/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	231							
26	8	230/3	230/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	232							
26	8	77	77	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	233							
26	8	232/3	232/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	234							
26	8	233/3	233/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	235							
27	9	78	78	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	236							
27	9	235/3	235/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	237							
27	9	236/3	236/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	238							
27	9	79	79	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	239		ornamentTrill					
27	9	238/3	238/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	240							
27	9	239/3	239/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	241							
27	9	80	80	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	242		ornamentTrill					
27	9	241/3	241/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	243							
27	9	242/3	242/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	244							
27	9	78	78	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	245							
27	9	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	246							
27	9	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	247							
28	10	81	81	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	248							
28	10	244/3	244/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	249							
28	10	245/3	245/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	250							
28	10	82	82	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	251							
28	10	247/3	247/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	252							
28	10	248/3	248/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	253							
28	10	83	83	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	254							
28	10	250/3	250/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	255							
28	10	251/3	251/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	256							
28	10	81	81	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	257							
29	11	84	84	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	258							
29	11	253/3	253/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	259							
29	11	254/3	254/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	260							
29	11	85	85	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	261		ornamentTrill					
29	11	256/3	256/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	262							
29	11	257/3	257/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	263							
29	11	86	86	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	264		ornamentTrill					
29	11	259/3	259/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	265							
29	11	260/3	260/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	266							
29	11	84	84	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	267							
29	11	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	268							
29	11	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	269							
30	12	87	87	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	270							
30	12	262/3	262/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	271							
30	12	263/3	263/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	272							
30	12	88	88	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	273							
30	12	265/3	265/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	274							
30	12	266/3	266/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	275							
30	12	89	89	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	276							
