mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Vibrato:guitarVibratoWide
7	7	19	19	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	104									
7	7	77/4	77/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	105									
7	7	39/2	39/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	106									
7	7	79/4	79/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	107									
7	7	20	20	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	108									
7	7	81/4	81/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	109									
7	7	41/2	41/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	110									
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	111									
8	8	21	21	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	112									
8	8	87/4	87/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	113									
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	114									
8	8	23	23	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	115									
8	8	93/4	93/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	116									
8	8	47/2	47/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	117									
8	8	95/4	95/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	118									
8	8	22	22	1.5	1/4	1/4	Chord	3/4	1	2	3/8		1/4	3/2	119									
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	120									
8	8	85/4	85/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	121									
8	8	43/2	43/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	122									
8	8	87/4	87/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	123									
8	8	22	22	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	124									
8	8	89/4	89/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	125									
8	8	45/2	45/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	126									
8	8	91/4	91/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	127									
8	8	23	23	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	128									
