mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	98								
10	10	27	27	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	99								
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	100								
10	10	27	27	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	101								
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	102								
10	10	27	27	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	103								
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	104								
10	10	28	28	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	105								
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	106								
10	10	29	29	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	107								
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	108								
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	109								
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	110								
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	111								
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	112								
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	113								
11	11	30	30	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	114								
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	115								
11	11	31	31	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	116								
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	117								
11	11	32	32	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	118								
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	119								
12	12	33	33	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	120								
12	12	34	34	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	121								
12	12	33	33	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	122								
12	12	34	34	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	123								
12	12	33	33	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	124								
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	125								
12	12	34	34	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	126								
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	127								
12	12	35	35	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	128								
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	129								
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	130								
13	13	37	37	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	131								
13	13	112/3	112/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	132								
13	13	113/3	113/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	133								
13	13	38	38	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	134								
13	13	115/3	115/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	135								
13	13	116/3	116/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	136								
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	137								
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	138								
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	139								
14	14	39	39	0.0	0	0	Chord	3/4	1	1	0	grace4	1/4	1	140								
14	14	39	39	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	141								
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	142								
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	143								
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	144								
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	145								
15	15	42	42	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	146								
15	15	127/3	127/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	147								
15	15	128/3	128/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	148								
15	15	43	43	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	149								
15	15	130/3	130/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	150								
15	15	131/3	131/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	151								
15	15	44	44	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	152								
15	15	133/3	133/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	153								
15	15	134/3	134/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	154								
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	155								
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	156								
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	157								
16	16	45	45	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	158								
16	16	136/3	136/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	159								
16	16	137/3	137/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	160								
16	16	46	46	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	161								
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	162								
16	16	46	46	0.3333333333333333	1/4	1/4	Chord	3/4	2	1	1/12		1/8	2/3	163								
16	16	139/3	139/3	0.3333333333333333	1/3	1/3	Chord	3/4	2	1	1/12		1/8	2/3	164								
16	16	140/3	140/3	0.3333333333333333	5/12	5/12	Chord	3/4	2	1	1/12		1/8	2/3	165								
16	16	47	47	0.3333333333333333	1/2	1/2	Chord	3/4	2	1	1/12		1/8	2/3	166								
16	16	142/3	142/3	0.3333333333333333	7/12	7/12	Chord	3/4	2	1	1/12		1/8	2/3	167								
16	16	143/3	143/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12		1/8	2/3	168								
17	17	48	48	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	169		ornamentTrill						
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	170								
17	17	48	48	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	171								
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	172								
17	17	48	48	0.0	0	0	Dynamic	3/4	2	1	0					p							
17	17	48	48	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	173								
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	174								
17	17	49	49	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	175								
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	176								
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	177								
18	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	178								
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	179								
18	18	52	52	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	180								
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	181								
18	18	53	53	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	182								
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	183								
18	18	51	51	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	184								
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	185								
18	18	52	52	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	186								
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	187								
18	18	53	53	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	188								
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	189								
19	19	54	54	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	190		ornamentTrill						
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	191								
19	19	54	54	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	192								
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	193								
19	19	54	54	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	194								
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	195								
19	19	55	55	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	196								
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	197								
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	198								
20	20	57	57	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	199								
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	200								
20	20	58	58	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	201								
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	202								
20	20	59	59	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	203								
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	204								
20	20	57	57	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	205								
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	206								
20	20	58	58	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	207								
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	208								
20	20	59	59	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	209								
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	210								
21	21	60	60	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	211								
21	21	181/3	181/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	212								
21	21	182/3	182/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	213								
21	21	61	61	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	214								
21	21	184/3	184/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	215								
21	21	185/3	185/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	216								
21	21	62	62	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	217								
21	21	187/3	187/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	218								
21	21	188/3	188/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	219								
21	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	220								
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	221								
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	222								
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	223								
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	224								
22	22	63	63	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	225								
22	22	190/3	190/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	226								
22	22	191/3	191/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	227								
22	22	64	64	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	228								
22	22	193/3	193/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	229								
22	22	194/3	194/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	230								
22	22	65	65	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	231								
22	22	196/3	196/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	232								
22	22	197/3	197/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	233								
22	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	234								
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	235								
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	236								
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	237								
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	238								
23	23	66	66	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	239								
23	23	66	66	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	240								
23	23	133/2	133/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	241								
23	23	267/4	267/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	242								
23	23	67	67	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	243								
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	244		ornamentTrill						
23	23	67	67	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	245								
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	246								
23	23	66	66	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	247								
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	248								
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	249								
23	23	66	66	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	250								
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	251								
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	252								
24	24	69	69	0.0	0	0	StaffText	3/4	1	1	0							Da Capo il Maggiore					
24	24	69	69	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	253								
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	254								
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	255								
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	256								
