mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
36	36	71	71	1.0	1/4	1/4	2/4	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
37	37	72	72	1.0	0	0	2/4	2	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
37	37	73	73	1.0	1/4	1/4	2/4	2	1	ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
38	38	74	74	1.0	0	0	2/4	2	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
38	38	75	75	0.5	1/4	1/4	2/4	2	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
38	38	151/2	151/2	0.5	3/8	3/8	2/4	2	1	vii%65/V		G	I		vii%65/V	vii	%	65		V			%7	0	0	3, 0, 4, 6		6	3
39	39	76	76	1.0	0	0	2/4	2	1	V6		G	I		V6	V		6					M	0	0	5, 2, 1		1	5
39	39	77	77	1.0	1/4	1/4	2/4	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
40	40	78	78	4.0	0	0	2/4	2	1	V|HC}		G	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
41	41	80	80	0.0	0	0	2/4	2	1	{		G	I									{		0	0				
