mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
67	65	3/4	3/4	4/4	2	1		viio6/V		G	I		viio6/V	vii	o	6		V				o	0	0	3, 0, 6		6	3
68	66	0	0	4/4	2	1		V		G	I		V	V								M	0	0	1, 5, 2		1	1
68	66	1/4	1/4	4/4	2	1		V6		G	I		V6	V		6						M	0	0	5, 2, 1		1	5
68	66	1/2	1/2	4/4	2	1		I		G	I		I	I								M	0	0	0, 4, 1		0	0
68	66	3/4	3/4	4/4	2	1		viio6/V		G	I		viio6/V	vii	o	6		V				o	0	0	3, 0, 6		6	3
69	67	0	0	4/4	2	1		V]|HC}		G	I		V	V					]	HC	}	M	0	0	1, 5, 2		1	1
69	67	3/4	3/4	4/4	2	1		I[I{		G	I	I	I	I							{	M	0	0	0, 4, 1		0	0
72	70	0	0	4/4	2	1		IV(#2)		G	I		IV(#2)	IV			#2					M	0	0	-1, 8, 0		-1	-1
72	70	1/4	1/4	4/4	2	1		IV		G	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
73	71	0	0	4/4	2	1		I(6)		G	I		I(6)	I			6					M	0	0	0, 4, 3		0	0
73	71	1/4	1/4	4/4	2	1		I]		G	I		I	I					]			M	0	0	0, 4, 1		0	0
74	72	0	0	4/4	2	1		V(64)		G	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
74	72	1/2	1/2	4/4	2	1		V		G	I		V	V								M	0	0	1, 5, 2		1	1
75	73	0	0	4/4	2	1		I|PAC}		G	I		I	I						PAC	}	M	0	0	0, 4, 1		0	0
76	74	0	0	4/4	2	1		V65/IV{		G	I		V65/IV	V		65		IV			{	Mm7	0	0	4, 1, -2, 0		0	4
77	75	0	0	4/4	2	1		IV		G	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
78	76	0	0	4/4	2	1		V65		G	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
79	77	0	0	4/4	2	1		I		G	I		I	I								M	0	0	0, 4, 1		0	0
79	77	1/2	1/2	4/4	2	1		V65/IV		G	I		V65/IV	V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
80	78	0	0	4/4	2	1		IV(#2)		G	I		IV(#2)	IV			#2					M	0	0	-1, 8, 0		-1	-1
80	78	1/4	1/4	4/4	2	1		IV		G	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
80	78	1/2	1/2	4/4	2	1		IV6		G	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
80	78	3/4	3/4	4/4	2	1		ii6		G	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
81	79	0	0	4/4	2	1		V[V6}{		G	I	V	V6	V		6					}{	M	0	0	5, 2, 1		1	5
81	79	1/2	1/2	4/4	2	1		IV6		G	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
82	80	0	0	4/4	2	1		iii6	I64	G	I		iii6	iii		6						m	0	0	1, 5, 4		4	1
82	80	1/2	1/2	4/4	2	1		ii6	V7]	G	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
83	81	0	0	4/4	2	1		I|IAC}{		G	I		I	I						IAC	}{	M	0	0	0, 4, 1		0	0
83	81	1/4	1/4	4/4	2	1		IV6		G	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
83	81	1/2	1/2	4/4	2	1		iii6(+6)		G	I		iii6(+6)	iii		6	+6					m	0	0	1, 5, 4	0	4	1
83	81	3/4	3/4	4/4	2	1		ii6(+7)	IV	G	I		ii6(+7)	ii		6	+7					m	0	0	-1, 3, 2	0	2	-1
84	82	0	0	4/4	2	1		I6		G	I		I6	I		6						M	0	0	4, 1, 0		0	4
84	82	1/4	1/4	4/4	2	1		IV6		G	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
84	82	1/2	1/2	4/4	2	1		iii6(6)	I64	G	I		iii6(6)	iii		6	6					m	0	0	1, 0, 4		4	1
84	82	3/4	3/4	4/4	2	1		ii6(+7)		G	I		ii6(+7)	ii		6	+7					m	0	0	-1, 3, 2	0	2	-1
85	83	0	0	4/4	2	1		I6		G	I		I6	I		6						M	0	0	4, 1, 0		0	4
85	83	1/4	1/4	4/4	2	1		IV6		G	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
85	83	1/2	1/2	4/4	2	1		iii6(+6)		G	I		iii6(+6)	iii		6	+6					m	0	0	1, 5, 4	0	4	1
85	83	3/4	3/4	4/4	2	1		ii6(+7)	IV	G	I		ii6(+7)	ii		6	+7					m	0	0	-1, 3, 2	0	2	-1
86	84	0	0	4/4	2	1		I6		G	I		I6	I		6						M	0	0	4, 1, 0		0	4
86	84	1/4	1/4	4/4	2	1		ii6(+7)	IV	G	I		ii6(+7)	ii		6	+7					m	0	0	-1, 3, 2	0	2	-1
86	84	1/2	1/2	4/4	2	1		I6		G	I		I6	I		6						M	0	0	4, 1, 0		0	4
86	84	3/4	3/4	4/4	2	1		viio6(2)		G	I		viio6(2)	vii	o	6	2					o	0	0	2, -1, 0		5	2
87	85	0	0	4/4	2	1		I}{		G	I		I	I							}{	M	0	0	0, 4, 1		0	0
87	85	1/2	1/2	4/4	2	1		I6		G	I		I6	I		6						M	0	0	4, 1, 0		0	4
88	86	0	0	4/4	2	1		ii6		G	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
89	87	0	0	4/4	2	1		V(64)		G	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
89	87	1/2	1/2	4/4	2	1		V		G	I		V	V								M	0	0	1, 5, 2		1	1
90	88	0	0	4/4	2	1		I|PAC}		G	I		I	I						PAC	}	M	0	0	0, 4, 1		0	0
90	88	5/8	5/8	4/4	2	1		{		G	I										{		0	0				
91	89	0	0	4/4	2	1		ii		G	I		ii	ii								m	0	0	2, -1, 3		2	2
91	89	1/2	1/2	4/4	2	1		V		G	I		V	V								M	0	0	1, 5, 2		1	1
92	90	0	0	4/4	2	1		I		G	I		I	I								M	0	0	0, 4, 1		0	0
93	91	0	0	4/4	2	1		ii6		G	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
93	91	1/2	1/2	4/4	2	1		V(64)		G	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
93	91	3/4	3/4	4/4	2	1		V7		G	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
94	92	0	0	4/4	2	1		I(4)}		G	I		I(4)	I			4				}	M	0	0	0, -1, 1		0	0
94	92	1/2	1/2	4/4	2	1		I|PAC		G	I		I	I						PAC		M	0	0	0, 4, 1		0	0
94	92	5/8	5/8	4/4	2	1		{		G	I										{		0	0				
95	93	0	0	4/4	2	1		ii		G	I		ii	ii								m	0	0	2, -1, 3		2	2
95	93	1/2	1/2	4/4	2	1		V		G	I		V	V								M	0	0	1, 5, 2		1	1
96	94	0	0	4/4	2	1		I		G	I		I	I								M	0	0	0, 4, 1		0	0
97	95	0	0	4/4	2	1		ii6		G	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
97	95	1/4	1/4	4/4	2	1		ii		G	I		ii	ii								m	0	0	2, -1, 3		2	2
97	95	1/2	1/2	4/4	2	1		V(4)	V(64)	G	I		V(4)	V			4					M	0	0	1, 0, 2		1	1
97	95	3/4	3/4	4/4	2	1		V		G	I		V	V								M	0	0	1, 5, 2		1	1
98	96	0	0	4/4	2	1		I6|EC}{		G	I		I6	I		6				EC	}{	M	0	0	4, 1, 0		0	4
98	96	1/2	1/2	4/4	2	1		IV		G	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
98	96	3/4	3/4	4/4	2	1		V7		G	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
99	97	0	0	4/4	2	1		vi|DC		G	I		vi	vi						DC		m	0	0	3, 0, 4		3	3
99	97	1/4	1/4	4/4	2	1		I6		G	I		I6	I		6						M	0	0	4, 1, 0		0	4
99	97	1/2	1/2	4/4	2	1		IV		G	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
99	97	3/4	3/4	4/4	2	1		V7		G	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
100	98	0	0	4/4	2	1		I|PAC}		G	I		I	I						PAC	}	M	0	0	0, 4, 1		0	0
