mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
13	12	45	45	1.0	0	0	4/4	2	1	V(64)		G	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
13	12	46	46	1.0	1/4	1/4	4/4	2	1	V		G	I		V	V								M	0	0	1, 5, 2		1	1
13	12	47	47	2.0	1/2	1/2	4/4	2	1	I6		G	I		I6	I		6						M	0	0	4, 1, 0		0	4
14	13	49	49	1.0	0	0	4/4	2	1	ii		G	I		ii	ii								m	0	0	2, -1, 3		2	2
14	13	50	50	1.0	1/4	1/4	4/4	2	1	V65		G	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
14	13	51	51	1.0	1/2	1/2	4/4	2	1	I		G	I		I	I								M	0	0	0, 4, 1		0	0
14	13	52	52	1.0	3/4	3/4	4/4	2	1	vii%7/V		G	I		vii%7/V	vii	%	7		V				%7	0	0	6, 3, 0, 4		6	6
15	14	53	53	1.0	0	0	4/4	2	1	V(64)}		G	I		V(64)	V			64				}	M	0	0	1, 0, 4		1	1
15	14	54	54	3.0	1/4	1/4	4/4	2	1	V|HC		G	I		V	V						HC		M	0	0	1, 5, 2		1	1
16	15	57	57	4.0	0	0	4/4	2	1	V.V{		G	V		V	V							{	M	0	0	1, 5, 2		1	1
17	16	61	61	1.0	0	0	4/4	2	1	I6		G	V		I6	I		6						M	0	0	4, 1, 0		0	4
17	16	62	62	1.0	1/4	1/4	4/4	2	1	V6		G	V		V6	V		6						M	0	0	5, 2, 1		1	5
17	16	63	63	1.0	1/2	1/2	4/4	2	1	I		G	V		I	I								M	0	0	0, 4, 1		0	0
17	16	64	64	1.0	3/4	3/4	4/4	2	1	IV6		G	V		IV6	IV		6						M	0	0	3, 0, -1		-1	3
18	17	65	65	4.0	0	0	4/4	2	1	V		G	V		V	V								M	0	0	1, 5, 2		1	1
19	18	69	69	1.0	0	0	4/4	2	1	I6		G	V		I6	I		6						M	0	0	4, 1, 0		0	4
19	18	70	70	1.0	1/4	1/4	4/4	2	1	V6		G	V		V6	V		6						M	0	0	5, 2, 1		1	5
19	18	71	71	1.0	1/2	1/2	4/4	2	1	I		G	V		I	I								M	0	0	0, 4, 1		0	0
19	18	72	72	1.0	3/4	3/4	4/4	2	1	IV6		G	V		IV6	IV		6						M	0	0	3, 0, -1		-1	3
20	19	73	73	1.0	0	0	4/4	2	1	V[V		G	V	V	V	V								M	0	0	1, 5, 2		1	1
20	19	74	74	1.0	1/4	1/4	4/4	2	1	I6		G	V		I6	I		6						M	0	0	4, 1, 0		0	4
20	19	75	75	1.0	1/2	1/2	4/4	2	1	IV		G	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
20	19	76	76	1.0	3/4	3/4	4/4	2	1	ii		G	V		ii	ii								m	0	0	2, -1, 3		2	2
21	20	77	77	1.0	0	0	4/4	2	1	V6		G	V		V6	V		6						M	0	0	5, 2, 1		1	5
21	20	78	78	1.0	1/4	1/4	4/4	2	1	I		G	V		I	I								M	0	0	0, 4, 1		0	0
21	20	79	79	1.0	1/2	1/2	4/4	2	1	IV6		G	V		IV6	IV		6						M	0	0	3, 0, -1		-1	3
21	20	80	80	1.0	3/4	3/4	4/4	2	1	V7]		G	V		V7	V		7			]			Mm7	0	0	1, 5, 2, -1		1	1
22	21	81	81	1.0	0	0	4/4	2	1	I|IAC}{		G	V		I	I						IAC	}{	M	0	0	0, 4, 1		0	0
22	21	82	82	1.0	1/4	1/4	4/4	2	1	IV6		G	V		IV6	IV		6						M	0	0	3, 0, -1		-1	3
22	21	83	83	1.0	1/2	1/2	4/4	2	1	iii6(+6)		G	V		iii6(+6)	iii		6	+6					m	0	0	1, 5, 4	0	4	1
22	21	84	84	1.0	3/4	3/4	4/4	2	1	ii6(+7)	IV	G	V		ii6(+7)	ii		6	+7					m	0	0	-1, 3, 2	0	2	-1
23	22	85	85	1.0	0	0	4/4	2	1	I6		G	V		I6	I		6						M	0	0	4, 1, 0		0	4
23	22	86	86	1.0	1/4	1/4	4/4	2	1	IV6		G	V		IV6	IV		6						M	0	0	3, 0, -1		-1	3
23	22	87	87	1.0	1/2	1/2	4/4	2	1	iii6(6)	I64	G	V		iii6(6)	iii		6	6					m	0	0	1, 0, 4		4	1
23	22	88	88	1.0	3/4	3/4	4/4	2	1	ii6(+7)		G	V		ii6(+7)	ii		6	+7					m	0	0	-1, 3, 2	0	2	-1
24	23	89	89	1.0	0	0	4/4	2	1	I6		G	V		I6	I		6						M	0	0	4, 1, 0		0	4
24	23	90	90	1.0	1/4	1/4	4/4	2	1	IV6		G	V		IV6	IV		6						M	0	0	3, 0, -1		-1	3
24	23	91	91	1.0	1/2	1/2	4/4	2	1	iii6(+6)		G	V		iii6(+6)	iii		6	+6					m	0	0	1, 5, 4	0	4	1
24	23	92	92	1.0	3/4	3/4	4/4	2	1	ii6(+7)	IV	G	V		ii6(+7)	ii		6	+7					m	0	0	-1, 3, 2	0	2	-1
25	24	93	93	1.0	0	0	4/4	2	1	I6		G	V		I6	I		6						M	0	0	4, 1, 0		0	4
25	24	94	94	1.0	1/4	1/4	4/4	2	1	IV6		G	V		IV6	IV		6						M	0	0	3, 0, -1		-1	3
25	24	95	95	1.0	1/2	1/2	4/4	2	1	iii6(6)	I64	G	V		iii6(6)	iii		6	6					m	0	0	1, 0, 4		4	1
25	24	96	96	1.0	3/4	3/4	4/4	2	1	ii6(+7)		G	V		ii6(+7)	ii		6	+7					m	0	0	-1, 3, 2	0	2	-1
26	25	97	97	4.0	0	0	4/4	2	1	I6}{		G	V		I6	I		6					}{	M	0	0	4, 1, 0		0	4
27	26	101	101	3.0	0	0	4/4	2	1	IV		G	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
27	26	104	104	1.0	3/4	3/4	4/4	2	1	V2	viio64	G	V		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
28	27	105	105	1.0	0	0	4/4	2	1	I6		G	V		I6	I		6						M	0	0	4, 1, 0		0	4
28	27	106	106	1.0	1/4	1/4	4/4	2	1	vi		G	V		vi	vi								m	0	0	3, 0, 4		3	3
28	27	107	107	1.0	1/2	1/2	4/4	2	1	ii65		G	V		ii65	ii		65						mm7	0	0	-1, 3, 0, 2		2	-1
28	27	108	108	1.0	3/4	3/4	4/4	2	1	V		G	V		V	V								M	0	0	1, 5, 2		1	1
29	28	109	109	2.0	0	0	4/4	2	1	I6|EC}		G	V		I6	I		6				EC	}	M	0	0	4, 1, 0		0	4
29	28	111	111	2.0	1/2	1/2	4/4	2	1	I		G	V		I	I								M	0	0	0, 4, 1		0	0
29	28	223/2	223/2	0.0	5/8	5/8	4/4	2	1	{		G	V										{		0	0				
30	29	113	113	2.0	0	0	4/4	2	1	ii		G	V		ii	ii								m	0	0	2, -1, 3		2	2
30	29	115	115	2.0	1/2	1/2	4/4	2	1	V		G	V		V	V								M	0	0	1, 5, 2		1	1
31	30	117	117	4.0	0	0	4/4	2	1	I		G	V		I	I								M	0	0	0, 4, 1		0	0
32	31	121	121	1.0	0	0	4/4	2	1	ii6		G	V		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
32	31	122	122	1.0	1/4	1/4	4/4	2	1	ii		G	V		ii	ii								m	0	0	2, -1, 3		2	2
32	31	123	123	1.0	1/2	1/2	4/4	2	1	V(64)		G	V		V(64)	V			64					M	0	0	1, 0, 4		1	1
32	31	124	124	1.0	3/4	3/4	4/4	2	1	V7		G	V		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
33	32	125	125	2.0	0	0	4/4	2	1	I(4)}		G	V		I(4)	I			4				}	M	0	0	0, -1, 1		0	0
33	32	127	127	2.0	1/2	1/2	4/4	2	1	I|PAC		G	V		I	I						PAC		M	0	0	0, 4, 1		0	0
33	32	255/2	255/2	0.0	5/8	5/8	4/4	2	1	{		G	V										{		0	0				
34	33	129	129	2.0	0	0	4/4	2	1	ii		G	V		ii	ii								m	0	0	2, -1, 3		2	2
34	33	131	131	2.0	1/2	1/2	4/4	2	1	V		G	V		V	V								M	0	0	1, 5, 2		1	1
35	34	133	133	4.0	0	0	4/4	2	1	I		G	V		I	I								M	0	0	0, 4, 1		0	0
36	35	137	137	2.0	0	0	4/4	2	1	ii6		G	V		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
36	35	139	139	1.0	1/2	1/2	4/4	2	1	V(64)		G	V		V(64)	V			64					M	0	0	1, 0, 4		1	1
36	35	140	140	1.0	3/4	3/4	4/4	2	1	V		G	V		V	V								M	0	0	1, 5, 2		1	1
37	36	141	141	1.0	0	0	4/4	2	1	I|PAC}{		G	V		I	I						PAC	}{	M	0	0	0, 4, 1		0	0
37	36	142	142	1.0	1/4	1/4	4/4	2	1	I6		G	V		I6	I		6						M	0	0	4, 1, 0		0	4
37	36	143	143	1.0	1/2	1/2	4/4	2	1	IV		G	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
37	36	144	144	0.5	3/4	3/4	4/4	2	1	V(64)		G	V		V(64)	V			64					M	0	0	1, 0, 4		1	1
37	36	289/2	289/2	0.5	7/8	7/8	4/4	2	1	V		G	V		V	V								M	0	0	1, 5, 2		1	1
38	37	145	145	1.0	0	0	4/4	2	1	vi|DC		G	V		vi	vi						DC		m	0	0	3, 0, 4		3	3
38	37	146	146	1.0	1/4	1/4	4/4	2	1	I6		G	V		I6	I		6						M	0	0	4, 1, 0		0	4
38	37	147	147	1.0	1/2	1/2	4/4	2	1	IV		G	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
38	37	148	148	0.5	3/4	3/4	4/4	2	1	V(64)		G	V		V(64)	V			64					M	0	0	1, 0, 4		1	1
38	37	297/2	297/2	0.5	7/8	7/8	4/4	2	1	V		G	V		V	V								M	0	0	1, 5, 2		1	1
39	38	149	149	3.0	0	0	4/4	2	1	I|PAC}		G	V		I	I						PAC	}	M	0	0	0, 4, 1		0	0
40	38	152	152	9.0	0	3/4	4/4	2	1	I[I{		G	V	I	I	I							{	M	0	0	0, 4, 1		0	0
43	41	161	161	1.0	0	0	4/4	2	1	IV(#2)		G	V		IV(#2)	IV			#2					M	0	0	-1, 8, 0		-1	-1
43	41	162	162	3.0	1/4	1/4	4/4	2	1	IV		G	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
44	42	165	165	1.0	0	0	4/4	2	1	I(6)		G	V		I(6)	I			6					M	0	0	0, 4, 3		0	0
44	42	166	166	3.0	1/4	1/4	4/4	2	1	I]		G	V		I	I					]			M	0	0	0, 4, 1		0	0
45	43	169	169	2.0	0	0	4/4	2	1	V(64)		G	V		V(64)	V			64					M	0	0	1, 0, 4		1	1
45	43	171	171	2.0	1/2	1/2	4/4	2	1	V		G	V		V	V								M	0	0	1, 5, 2		1	1
46	44	173	173	4.0	0	0	4/4	2	1	I|PAC}		G	V		I	I						PAC	}	M	0	0	0, 4, 1		0	0
47	45	177	177	4.0	0	0	4/4	2	1	vi.iio/iv{		G	vi		iio/iv	ii	o			iv			{	o	0	1	1, -2, -5		1	1
48	46	181	181	4.0	0	0	4/4	2	1	V65/iv		G	vi		V65/iv	V		65		iv				Mm7	0	1	4, 1, -2, 0		0	4
49	47	185	185	4.0	0	0	4/4	2	1	i/iv	ii/III	G	vi		i/iv	i				iv				m	0	1	-1, -4, 0		-1	-1
50	48	189	189	4.0	0	0	4/4	2	1	V65/III		G	vi		V65/III	V		65		III				Mm7	0	1	2, -1, -4, -2		-2	2
51	49	193	193	2.0	0	0	4/4	2	1	I/III}{		G	vi		I/III	I				III			}{	M	0	1	-3, 1, -2		-3	-3
51	49	195	195	1.0	1/2	1/2	4/4	2	1	V43		G	vi		V43	V		43						Mm7	0	1	2, -1, 1, 5		1	2
51	49	196	196	1.0	3/4	3/4	4/4	2	1	V6	V65	G	vi		V6	V		6						M	0	1	5, 2, 1		1	5
52	50	197	197	1.0	0	0	4/4	2	1	i		G	vi		i	i								m	0	1	0, -3, 1		0	0
52	50	198	198	1.0	1/4	1/4	4/4	2	1	VI		G	vi		VI	VI								M	0	1	-4, 0, -3		-4	-4
52	50	199	199	1.0	1/2	1/2	4/4	2	1	i64		G	vi		i64	i		64						m	0	1	1, 0, -3		0	1
52	50	200	200	1.0	3/4	3/4	4/4	2	1	viio7/V		G	vi		viio7/V	vii	o	7		V				o7	0	1	6, 3, 0, -3		6	6
53	51	201	201	1.0	0	0	4/4	2	1	V		G	vi		V	V								M	0	1	1, 5, 2		1	1
53	51	202	202	1.0	1/4	1/4	4/4	2	1	i6		G	vi		i6	i		6						m	0	1	-3, 1, 0		0	-3
53	51	203	203	1.0	1/2	1/2	4/4	2	1	V43		G	vi		V43	V		43						Mm7	0	1	2, -1, 1, 5		1	2
53	51	204	204	1.0	3/4	3/4	4/4	2	1	V6	V65	G	vi		V6	V		6						M	0	1	5, 2, 1		1	5
54	52	205	205	1.0	0	0	4/4	2	1	i		G	vi		i	i								m	0	1	0, -3, 1		0	0
54	52	206	206	1.0	1/4	1/4	4/4	2	1	VI		G	vi		VI	VI								M	0	1	-4, 0, -3		-4	-4
54	52	207	207	1.0	1/2	1/2	4/4	2	1	i64		G	vi		i64	i		64						m	0	1	1, 0, -3		0	1
54	52	208	208	1.0	3/4	3/4	4/4	2	1	viio7/V		G	vi		viio7/V	vii	o	7		V				o7	0	1	6, 3, 0, -3		6	6
55	53	209	209	2.0	0	0	4/4	2	1	V|HC}{		G	vi		V	V						HC	}{	M	0	1	1, 5, 2		1	1
55	53	211	211	2.0	1/2	1/2	4/4	2	1	i6		G	vi		i6	i		6						m	0	1	-3, 1, 0		0	-3
56	54	213	213	2.0	0	0	4/4	2	1	V65		G	vi		V65	V		65						Mm7	0	1	5, 2, -1, 1		1	5
56	54	215	215	2.0	1/2	1/2	4/4	2	1	i		G	vi		i	i								m	0	1	0, -3, 1		0	0
57	55	217	217	4.0	0	0	4/4	2	1	bII6		G	vi		bII6	bII		6						M	0	1	-1, -4, -5		-5	-1
58	56	221	221	4.0	0	0	4/4	2	1	i6		G	vi		i6	i		6						m	0	1	-3, 1, 0		0	-3
59	57	225	225	1.0	0	0	4/4	2	1	IV		G	vi		IV	IV								M	0	1	-1, 3, 0		-1	-1
59	57	226	226	1.0	1/4	1/4	4/4	2	1	ii		G	vi		ii	ii								m	0	1	2, -1, 3		2	2
59	57	227	227	1.0	1/2	1/2	4/4	2	1	V(4)	V(64)	G	vi		V(4)	V			4					M	0	1	1, 0, 2		1	1
59	57	228	228	1.0	3/4	3/4	4/4	2	1	V		G	vi		V	V								M	0	1	1, 5, 2		1	1
60	58	229	229	4.0	0	0	4/4	2	1	i|EC}{		G	vi		i	i						EC	}{	m	0	1	0, -3, 1		0	0
61	59	233	233	4.0	0	0	4/4	2	1	bII6		G	vi		bII6	bII		6						M	0	1	-1, -4, -5		-5	-1
62	60	237	237	4.0	0	0	4/4	2	1	i6		G	vi		i6	i		6						m	0	1	-3, 1, 0		0	-3
63	61	241	241	1.0	0	0	4/4	2	1	IV		G	vi		IV	IV								M	0	1	-1, 3, 0		-1	-1
63	61	242	242	1.0	1/4	1/4	4/4	2	1	ii		G	vi		ii	ii								m	0	1	2, -1, 3		2	2
63	61	243	243	1.0	1/2	1/2	4/4	2	1	V(4)	V(64)	G	vi		V(4)	V			4					M	0	1	1, 0, 2		1	1
63	61	244	244	1.0	3/4	3/4	4/4	2	1	V		G	vi		V	V								M	0	1	1, 5, 2		1	1
64	62	245	245	2.0	0	0	4/4	2	1	i|PAC}{		G	vi		i	i						PAC	}{	m	0	1	0, -3, 1		0	0
64	62	247	247	1.0	1/2	1/2	4/4	2	1	I.iv64/v		G	I		iv64/v	iv		64		v				m	0	0	1, 0, -3		0	1
64	62	248	248	1.0	3/4	3/4	4/4	2	1	#viio/v		G	I		#viio/v	#vii	o			v				o	0	0	6, 3, 0		6	6
65	63	249	249	2.0	0	0	4/4	2	1	i6/v		G	I		i6/v	i		6		v				m	0	0	-2, 2, 1		1	-2
65	63	251	251	1.0	1/2	1/2	4/4	2	1	IV64/IV		G	I		IV64/IV	IV		64		IV				M	0	0	-1, -2, 2		-2	-1
65	63	252	252	1.0	3/4	3/4	4/4	2	1	viio/IV		G	I		viio/IV	vii	o			IV				o	0	0	4, 1, -2		4	4
66	64	253	253	2.0	0	0	4/4	2	1	IV6		G	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
66	64	255	255	2.0	1/2	1/2	4/4	2	1	ii		G	I		ii	ii								m	0	0	2, -1, 3		2	2
67	65	257	257	1.0	0	0	4/4	2	1	V[V}{		G	I	V	V	V							}{	M	0	0	1, 5, 2		1	1
67	65	258	258	1.0	1/4	1/4	4/4	2	1	V6		G	I		V6	V		6						M	0	0	5, 2, 1		1	5
67	65	259	259	1.0	1/2	1/2	4/4	2	1	I		G	I		I	I								M	0	0	0, 4, 1		0	0
67	65	260	260	1.0	3/4	3/4	4/4	2	1	viio6/V		G	I		viio6/V	vii	o	6		V				o	0	0	3, 0, 6		6	3
68	66	261	261	1.0	0	0	4/4	2	1	V		G	I		V	V								M	0	0	1, 5, 2		1	1
68	66	262	262	1.0	1/4	1/4	4/4	2	1	V6		G	I		V6	V		6						M	0	0	5, 2, 1		1	5
68	66	263	263	1.0	1/2	1/2	4/4	2	1	I		G	I		I	I								M	0	0	0, 4, 1		0	0
68	66	264	264	1.0	3/4	3/4	4/4	2	1	viio6/V		G	I		viio6/V	vii	o	6		V				o	0	0	3, 0, 6		6	3
69	67	265	265	3.0	0	0	4/4	2	1	V]|HC}		G	I		V	V					]	HC	}	M	0	0	1, 5, 2		1	1
69	67	268	268	9.0	3/4	3/4	4/4	2	1	I[I{		G	I	I	I	I							{	M	0	0	0, 4, 1		0	0
72	70	277	277	1.0	0	0	4/4	2	1	IV(#2)		G	I		IV(#2)	IV			#2					M	0	0	-1, 8, 0		-1	-1
72	70	278	278	3.0	1/4	1/4	4/4	2	1	IV		G	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
73	71	281	281	1.0	0	0	4/4	2	1	I(6)		G	I		I(6)	I			6					M	0	0	0, 4, 3		0	0
73	71	282	282	3.0	1/4	1/4	4/4	2	1	I]		G	I		I	I					]			M	0	0	0, 4, 1		0	0
74	72	285	285	2.0	0	0	4/4	2	1	V(64)		G	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
74	72	287	287	2.0	1/2	1/2	4/4	2	1	V		G	I		V	V								M	0	0	1, 5, 2		1	1
75	73	289	289	4.0	0	0	4/4	2	1	I|PAC}		G	I		I	I						PAC	}	M	0	0	0, 4, 1		0	0
76	74	293	293	4.0	0	0	4/4	2	1	V65/IV{		G	I		V65/IV	V		65		IV			{	Mm7	0	0	4, 1, -2, 0		0	4
77	75	297	297	4.0	0	0	4/4	2	1	IV		G	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
78	76	301	301	4.0	0	0	4/4	2	1	V65		G	I		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
79	77	305	305	2.0	0	0	4/4	2	1	I		G	I		I	I								M	0	0	0, 4, 1		0	0
79	77	307	307	2.0	1/2	1/2	4/4	2	1	V65/IV		G	I		V65/IV	V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
80	78	309	309	1.0	0	0	4/4	2	1	IV(#2)		G	I		IV(#2)	IV			#2					M	0	0	-1, 8, 0		-1	-1
80	78	310	310	1.0	1/4	1/4	4/4	2	1	IV		G	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
80	78	311	311	1.0	1/2	1/2	4/4	2	1	IV6		G	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
80	78	312	312	1.0	3/4	3/4	4/4	2	1	ii6		G	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
81	79	313	313	2.0	0	0	4/4	2	1	V[V6}{		G	I	V	V6	V		6					}{	M	0	0	5, 2, 1		1	5
81	79	315	315	2.0	1/2	1/2	4/4	2	1	IV6		G	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
82	80	317	317	2.0	0	0	4/4	2	1	iii6	I64	G	I		iii6	iii		6						m	0	0	1, 5, 4		4	1
82	80	319	319	2.0	1/2	1/2	4/4	2	1	ii6	V7]	G	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
83	81	321	321	1.0	0	0	4/4	2	1	I|IAC}{		G	I		I	I						IAC	}{	M	0	0	0, 4, 1		0	0
83	81	322	322	1.0	1/4	1/4	4/4	2	1	IV6		G	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
83	81	323	323	1.0	1/2	1/2	4/4	2	1	iii6(+6)		G	I		iii6(+6)	iii		6	+6					m	0	0	1, 5, 4	0	4	1
83	81	324	324	1.0	3/4	3/4	4/4	2	1	ii6(+7)	IV	G	I		ii6(+7)	ii		6	+7					m	0	0	-1, 3, 2	0	2	-1
84	82	325	325	1.0	0	0	4/4	2	1	I6		G	I		I6	I		6						M	0	0	4, 1, 0		0	4
84	82	326	326	1.0	1/4	1/4	4/4	2	1	IV6		G	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
84	82	327	327	1.0	1/2	1/2	4/4	2	1	iii6(6)	I64	G	I		iii6(6)	iii		6	6					m	0	0	1, 0, 4		4	1
84	82	328	328	1.0	3/4	3/4	4/4	2	1	ii6(+7)		G	I		ii6(+7)	ii		6	+7					m	0	0	-1, 3, 2	0	2	-1
85	83	329	329	1.0	0	0	4/4	2	1	I6		G	I		I6	I		6						M	0	0	4, 1, 0		0	4
85	83	330	330	1.0	1/4	1/4	4/4	2	1	IV6		G	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
85	83	331	331	1.0	1/2	1/2	4/4	2	1	iii6(+6)		G	I		iii6(+6)	iii		6	+6					m	0	0	1, 5, 4	0	4	1
85	83	332	332	1.0	3/4	3/4	4/4	2	1	ii6(+7)	IV	G	I		ii6(+7)	ii		6	+7					m	0	0	-1, 3, 2	0	2	-1
86	84	333	333	1.0	0	0	4/4	2	1	I6		G	I		I6	I		6						M	0	0	4, 1, 0		0	4
86	84	334	334	1.0	1/4	1/4	4/4	2	1	ii6(+7)	IV	G	I		ii6(+7)	ii		6	+7					m	0	0	-1, 3, 2	0	2	-1
86	84	335	335	1.0	1/2	1/2	4/4	2	1	I6		G	I		I6	I		6						M	0	0	4, 1, 0		0	4
86	84	336	336	1.0	3/4	3/4	4/4	2	1	viio6(2)		G	I		viio6(2)	vii	o	6	2					o	0	0	2, -1, 0		5	2
87	85	337	337	2.0	0	0	4/4	2	1	I}{		G	I		I	I							}{	M	0	0	0, 4, 1		0	0
87	85	339	339	2.0	1/2	1/2	4/4	2	1	I6		G	I		I6	I		6						M	0	0	4, 1, 0		0	4
88	86	341	341	4.0	0	0	4/4	2	1	ii6		G	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
89	87	345	345	2.0	0	0	4/4	2	1	V(64)		G	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
89	87	347	347	2.0	1/2	1/2	4/4	2	1	V		G	I		V	V								M	0	0	1, 5, 2		1	1
90	88	349	349	4.0	0	0	4/4	2	1	I|PAC}		G	I		I	I						PAC	}	M	0	0	0, 4, 1		0	0
90	88	703/2	703/2	0.0	5/8	5/8	4/4	2	1	{		G	I										{		0	0				
91	89	353	353	2.0	0	0	4/4	2	1	ii		G	I		ii	ii								m	0	0	2, -1, 3		2	2
91	89	355	355	2.0	1/2	1/2	4/4	2	1	V		G	I		V	V								M	0	0	1, 5, 2		1	1
92	90	357	357	4.0	0	0	4/4	2	1	I		G	I		I	I								M	0	0	0, 4, 1		0	0
93	91	361	361	2.0	0	0	4/4	2	1	ii6		G	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
93	91	363	363	1.0	1/2	1/2	4/4	2	1	V(64)		G	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
93	91	364	364	1.0	3/4	3/4	4/4	2	1	V7		G	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
94	92	365	365	2.0	0	0	4/4	2	1	I(4)}		G	I		I(4)	I			4				}	M	0	0	0, -1, 1		0	0
94	92	367	367	2.0	1/2	1/2	4/4	2	1	I|PAC		G	I		I	I						PAC		M	0	0	0, 4, 1		0	0
94	92	735/2	735/2	0.0	5/8	5/8	4/4	2	1	{		G	I										{		0	0				
95	93	369	369	2.0	0	0	4/4	2	1	ii		G	I		ii	ii								m	0	0	2, -1, 3		2	2
95	93	371	371	2.0	1/2	1/2	4/4	2	1	V		G	I		V	V								M	0	0	1, 5, 2		1	1
96	94	373	373	4.0	0	0	4/4	2	1	I		G	I		I	I								M	0	0	0, 4, 1		0	0
97	95	377	377	1.0	0	0	4/4	2	1	ii6		G	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
97	95	378	378	1.0	1/4	1/4	4/4	2	1	ii		G	I		ii	ii								m	0	0	2, -1, 3		2	2
97	95	379	379	1.0	1/2	1/2	4/4	2	1	V(4)	V(64)	G	I		V(4)	V			4					M	0	0	1, 0, 2		1	1
97	95	380	380	1.0	3/4	3/4	4/4	2	1	V		G	I		V	V								M	0	0	1, 5, 2		1	1
98	96	381	381	2.0	0	0	4/4	2	1	I6|EC}{		G	I		I6	I		6				EC	}{	M	0	0	4, 1, 0		0	4
